cds,rtype,schoolname,districtname,countyname,charter_flag,coe_flag,dass_flag,studentgroup,currprogressed,currmaintainPL4,currmaintainOth,currdeclined,currprogressed_Alternate,currmaintainPL3_Alternate,currnotprognotmain_Alternate,curr95,currnumer,currdenom,currstatus,priorprogressed,priormaintainPL4,priormaintainOth,priordeclined,priorprogressed_Alternate,priormaintainPL3_Alternate,priornotprognotmain_Alternate,prior95,priornumer,priordenom,priorstatus,change,statuslevel,changelevel,color,ImageURL,box,currnsizemet,priornsizemet,accountabilitymet,indicator,reportingyear
0,X,State of California,State of California,,,,,English Learner,343920,15274,273719,152378,3210,1146,6529,0,363550,796176,45.7,379363,19473,267388,151912,3119,1538,6416,0,403493,829209,48.7,-3,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
0,X,State of California,State of California,,,,,Long-Term English Learner,97960,7928,66996,58161,1146,715,2556,0,107749,235462,45.8,114052,9826,69001,56121,1228,959,2766,0,126065,253953,49.6,-3.9,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
1100170000000,D,,Alameda County Office of Education,Alameda,,Y,,English Learner,5,0,19,10,0,0,0,10,5,44,11.4,10,0,13,5,0,0,0,1,10,29,34.5,-23.1,1,1,0,https://i.imgur.com/hWgtiPF.png,0,Y,N,,ELPI,2024
1100170000000,D,,Alameda County Office of Education,Alameda,,Y,,Long-Term English Learner,5,0,10,9,0,0,0,8,5,32,15.6,9,0,7,5,0,0,0,0,9,21,42.9,-27.2,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,Y,,,English Learner,11,0,6,8,0,0,0,7,11,32,34.4,13,3,10,13,0,0,0,1,16,40,40,-5.6,1,2,1,https://i.imgur.com/0xqkwNU.png,220,Y,Y,Y,ELPI,2024
1100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,10,0,3,7,0,0,0,6,10,26,38.5,11,2,8,12,0,0,0,0,13,33,39.4,-0.9,2,3,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1100170123968,S,Community School for Creative Education,Alameda County Office of Education,Alameda,Y,,,English Learner,38,0,23,15,0,0,0,0,38,76,50,44,0,24,15,0,0,0,0,44,83,53,-3,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
1100170123968,S,Community School for Creative Education,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,9,0,3,3,0,0,0,0,9,15,60,11,0,3,3,0,0,0,0,11,17,64.7,-4.7,4,2,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170124172,S,Yu Ming Charter,Alameda County Office of Education,Alameda,Y,,,English Learner,39,3,25,15,0,0,0,0,42,82,51.2,28,3,22,13,0,0,0,0,31,66,47,4.2,3,4,4,https://i.imgur.com/ddAH9me.png,140,Y,Y,Y,ELPI,2024
1100170125567,S,Urban Montessori Charter,Alameda County Office of Education,Alameda,Y,,,English Learner,20,1,2,2,0,0,0,0,21,25,84,23,1,4,3,1,0,0,1,25,33,75.8,8.2,5,4,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
